,id,cmt,price,service,ship,performance,genuine,configuration,access,other,model
28,r-54139370,"sạc pin lâu , 78 giờ mới đâỳ , hình_ảnh màu_sắc không đẹp",0,0,0,0,0,2,0,0,0
29,r-54081205,máy tốt mượt . tuy_nhiên sạc_pin lâu quá lâu . máy còn 50 cắm sạc 7 h30 đến 11 h đầy 97,0,0,0,1,0,2,0,0,0
30,r-53686831,"máy đẹp , nhân_viên giao hàng nhiệt_tình",0,1,1,0,0,0,0,0,1
31,r-53232607,"sản_phẩm dùng tốt , bao da tặng đẹp , dòng chụp hình_như mờ dùng mượt",0,0,0,1,0,1,1,0,0
32,r-53158064,"sử_dụng tác_vụ tốt . bắt wifi hơi yếu . samsung note viết độ nhạy khá trễ . loa khủng , nghe .",0,0,0,0,0,2,0,0,0
33,r-52912514,"máy cầm khá nặng_tay , tác_vụ cơ_bản mượt . pin dùng 1 ngày tạm đủ sạc khá lâu",0,0,0,1,0,2,0,0,0
34,r-52320263,"phù_hợp nhu_cầu xem video loa to , màn đẹp . tốt",0,0,0,0,0,1,0,0,0
35,r-52054246,"sản_phẩm dùng tốt . nghe gọi rõ_ràng , lướt_web nhanh_nhạy . nói_chung sản_phẩm galaxy tab a8 mới dùng thấy tốt về biết .",0,0,0,0,0,0,0,0,0
36,r-51843027,sản_phẩm hiện_tại tốt . phục_vụ nhiệt_tình,0,1,0,0,0,0,0,0,0
37,r-51275770,"giao hàng nhanh , nhân_viên giao hàng nhiệt_tình , bước_đầu máy_ổn , nhân_viên giao hàng nói còn nợ bao da , hẹn 710 ngày",0,1,1,0,0,0,1,0,0
38,r-50962838,"máy mình đêm đến sáng hôm tự_động báo lỗi_wifi , ngắt wifi kết_nối mới tiếp_tục truy_cập mạng .",0,0,0,0,0,0,0,0,0
39,r-50848512,máy_tính bảng sài tốt . 3 lan đầu mình sạc pin 9 tieng đến 10 tiếng . đến lần thứ 4 sạc pin 3 tieng 45 phut . máy sài lâu hết pin.neu_sài bình_thường gần 1 tuan mới hết . còn sài 2 ngày mới hết,0,0,0,0,0,0,0,1,0
40,r-50694093,máy đẹp . bin sử_dụng ổn 1 ngày . tội sạc bin hơi lâu . nói_chung khá ổn trong tầm giá .,0,0,0,0,0,2,0,0,1
41,r-54417365,"nói_chung xài tốt , pin_ổn , sáng sạc đầy xài tới tối",0,0,0,0,0,0,0,1,0
42,r-54205922,"mỏng nhẹ . chip m1 siêu_mượt . nhu_cầu làm_việc , chơi game mình sử_dụng tốt trong 5 năm tới . tội đến giờ ông apple bộ_nhớ 64 gb , hơi hẹo",0,0,0,1,0,0,0,0,1
43,r-54150390,tôi trải_nghiệm thêm đánh_giá chính_xác nhất,0,0,0,0,0,0,0,1,0
44,r-52389710,hài_lòng về sản phẩm hk hài_lòng về phụ_kiện bảo_vệ máy miếng dán bảo_vệ màn_hình,0,0,0,0,0,0,2,0,0
45,r-54316809,"cảm_ứng máy_nhaỵ , pin ổn . 5 sao chất_lượng máy . 1 phục_vụ nhân_viên hời hợt , mua hàng không tư_vấn rõ_ràng chính_sách bảo_hành , không tư_vấn cách sử_dụng máy .",0,1,0,0,0,2,0,0,0
46,r-53913440,"trải_nghiệm hết tất_cả chức_năng , hiện_tại hài_lòng sản_phẩm",0,0,0,0,0,0,0,1,0
47,r-53873468,"tốt mượt , máy sự_dụng chuyên ghi_chép . không đanha_giá cụ_thể hơn",0,0,0,1,0,0,0,0,0
48,r-53757830,bạn nhân_viên phục_vụ tốt nhiệt_tình mình thích,0,1,0,0,0,0,0,0,0
49,r-53726014,sản_phẩm tốt nhân_viên tư_vấn tuyệt_vời,0,1,0,0,0,0,0,0,0
50,r-53466186,"một_số ứng_dụng máy đơ , màn_hình xanh",0,0,0,2,0,2,0,0,0
51,r-54316574,sản_phẩm xài tốt . nhân_viên tư_vấn tất tốt nhiệt_tình,0,1,0,0,0,0,0,0,0
52,r-52873817,"hàng tốt , giống giới_thiệu , phục_vụ tốt , nhan",0,1,0,0,0,0,0,0,0
53,r-52729310,"nhân_viên nhiệt_tình , tôi hài_lòng cách phục_vụ",0,1,0,0,0,0,0,0,0
54,r-52712892,mình dùng sản_phẩm thấy ổn . máy chạy mượt_mà . cảm_ứng nhaỵ . chơi game online tốt,0,0,0,1,0,1,0,0,0
55,r-52484795,"tốt trong tầm_giá , tác_vụ cơ_bản tốt , pin khá bền",1,0,0,0,0,1,0,0,0
56,r-52267167,hàng dùng tốte tội màn_hình hơi mờ . nhân_viên tư_vấn nhiệt_tình niềm_nở,0,1,0,0,0,2,0,0,0
57,r-51885288,máy mới mua xài 1 tuần làm rớt va_chạm cong viền đem bảo_hành kêu nằm trong danh_mục bảo_hành . giá thay linh_kiện bằng 14 giá_trị máy,0,0,0,0,0,0,0,1,0
58,r-51700084,nhìn_chung cách phục_vụ khách_hàng điện_máy xanh nhiệt_tình chu_đao,0,1,0,0,0,0,0,0,0
59,r-51498471,sạc mau_hư . gửi bảo_hành bắt gửi máy . thời_gian lâu . không thích cách bảo_hành bên hãng chút nào .,0,0,0,0,1,0,0,0,0
60,r-51324441,"nhân_viên tư_vấn nhiệt_tình , thân_thiện , thật_thà . máy tốt trong tầm giá",0,1,0,0,0,0,0,0,0
61,r-50398618,"loà ngoài dù mở nhỏ hơi_rè , biết khắc_phục .",0,0,0,0,0,2,0,0,0
62,r-50393293,hài_lòng về chât lương dịch_vụ . không hài_lòng về khuyên maỉ . không giới_thiệu bạn_bè,0,1,0,0,0,0,0,0,0
63,r-49744747,"sản_phẩm đẹp hơn xem online . bao da chính hãng tặng kèm đẹp . cấu_hình tốc_độ tầm_giá quá chuẩn sam_sung . nhân_viên nhiệt_tình , vui_vẻ , thân_thiện .",0,1,0,0,1,1,1,0,1
64,r-49378970,chính_sách giao hàng khách_hàng thuận_tiện hơn . tôi chạy hơn 100 km biên_hòa đến đình_quán lấy sản_phẩm,0,0,1,0,0,0,0,0,0
65,r-48513663,"thực_sự ưng . giá tiền mua giảm_giá 3 tr9 . chủ_yếu zai học ol giải_trí khuya khủa_tí thấy tốtela . đơ , giật .",0,0,0,2,0,0,0,0,0
66,r-46918188,mình mua gần 1 tháng máy hở viền chỗ tăng giảm âm . đưa đi thẩm_định bảo ngoại_lực tác_động bảo báo_giá thay mới . trong máy mình không hề méo_móp . thất_vọng,0,0,0,0,0,0,0,0,0
67,r-46865840,"mua 1 tháng dịp giảm_giá trả_góp tiện . máy dùng ghi_chép vẽ_vời ổn . loa to rõ , thêm màn_hình coi phim tuyệt_vời . pin trâu",0,0,0,0,0,1,0,0,0
68,r-46701524,"test máy máy_mượt , màn_hình tầm_trung xem youtube đẹp , chơi game nhẹ , sử_dụng mạng xã_hội tốt , fb , mes , zalo . máy thiết_kế đẹp , mỏng , nhẹ bắt_mắt , vỏ kim_loại nhìn sang_trọng pin trâu kèm_sạc nhanh , nói_chung thích dòng máy mới .",0,0,0,1,0,1,0,0,1
69,r-46381451,máy mua chủ_yếu chụp văn_bản camera chụp văn_bản thấy chữ đọc . máy mới chụp hình thua máy cũ,0,0,0,0,0,2,0,0,0
70,r-54754682,máy đẹp . chạy ổn . ưng_ý mua đúng giảm_giá . bao đẹp,0,0,0,1,0,0,1,0,1
71,r-54730694,nhân tư_vấn nhiệt_tình đúng tiêu_chí về sản phẩm 5 sao bạn nhân_viên,0,1,0,0,0,0,0,0,0
72,r-54625540,mình cảm_thấy hài_lòng về độ cảm_ứng màn_hình .,0,0,0,0,0,2,0,0,0
73,r-54406032,máy mượt . phù_hợp nhu_cầu . một_số chức_năng trải_nghiệm 4,0,0,0,1,0,0,0,0,0
74,r-53115577,"màn_hình to , hình_ảnh sắc_nét , thích_hợp người lớn_tuổi sử_dụng",0,0,0,0,0,1,0,0,0
75,r-52937843,"máy to quá , bảo_mật nhận_diện khuôn_mặt châm , nhạy",0,0,0,0,0,0,0,0,1
76,r-52482990,"mới mua sáng nay , nhân_viên nhiệt_tình , xài mượt . thank bạn tgdđ gần chợ củ_chi .",0,1,0,1,0,0,0,0,0
77,r-52300077,"pin trâu , loa hay , thiết_kế cứng_căp , phù_hợp giải_trí , công_việc nhẹ",0,0,0,0,0,1,0,0,1
78,r-52037623,"máy_tính tính bảng sử_dụng tốt , hài_lòng",0,0,0,0,0,0,0,1,0
79,r-51843038,mua về sạc lần đầu không . đi bảo_hành trung_tâm samsung . bảo_hành chậm trể . sạc không báo lỗi hư màng_hình . thua,0,0,0,0,0,2,0,0,0
80,r-51526895,"sử_dụng 8 tháng máy sử_dụng vấn_đề , cám_ơn nhà_sản_xuất tôi hài_lòng",0,0,0,0,0,0,0,1,0
81,r-50877857,"ngoài màn_hình lớn , mọi thứ bình_thường . bắt sóng hơi kém , gọi zalo nói_chuyện khó nghe . ngoại_hình nhìn đẹp .",0,0,0,0,0,2,0,0,1
82,r-50324428,"nhân_viên nhiệt_tình , thân_thiện . hàng xài tốt . chất_lượng ổn .",0,1,0,0,0,0,0,0,0
83,r-50127769,"sản_phẩm tốt mong_muốn , nhân_viên tư_vấn nhiệt_tình , vui_vẻ . tiếp_tục ủng_hộ tgdđ",0,1,0,0,0,0,0,0,0
84,r-49448909,"máy tốt , màn_hình to hơn , cảm_ứng nhạy hơn . mới xài biết , sử_dụng lâu_dài .",0,0,0,0,0,1,0,0,0
85,r-48480062,"máy xịn , mượt đủ dùng , màn_hình to , bút tiện_dụng , tính_năng hay , màn đẹp , không_tệ .",0,0,0,1,0,1,0,0,0
86,r-47363075,hôm_qua mua trừ quà cộng khuyến_mãi còn 9.590.000 nhân_viên giao hàng nhiệt_tình,0,1,1,0,0,0,0,0,0
87,r-47352147,"màn_hình to , pin_khỏe , đáng_giá , hài_lòng . bút s pen sử_dụng chung máy note 20 , đúng combo",0,0,0,0,0,1,0,0,0
88,r-53093013,"thật_ra đặt anh nhân_viên , mình đặt pro m1 12.9_cellular hong , sài tới giờ mới đi kím khe sim mới phát_hiện hong",0,0,0,0,0,0,0,1,0
89,r-52657977,tuyệt_vời màn mini led một sản_phẩm tuyệt_vời mọi người mua,0,0,0,0,0,2,0,0,0
90,r-54746005,"tốt , sản phẩm gặp trục_trặc . nhân_viên hỗ_trợ tốt , đặt_hàng 3 4 ngày nhận",0,1,0,0,0,0,0,0,0
91,r-53909555,sản_phẩm dùng mượt mọi thứ tốt,0,0,0,1,0,0,0,0,0
92,r-53810626,"sản_phẩm tốt , sài tốt , nhân_viên nhiệt_tình",0,1,0,0,0,0,0,0,0
93,r-53571464,"sản_phẩm tốt , nhân_viên hỗ_trợ nhiệt_tình",0,1,0,0,0,0,0,0,0
94,r-54205688,"máy mạnh_mẽ , mượt_mà , tầm_giá quá trời tốt",1,0,0,1,0,0,0,0,1
95,r-53032356,"sản_phẩm tốt , chất_lượng dịch_vụ nhân_viên tư_vấn nhiệt_tình",0,1,0,0,0,0,0,0,0
96,r-52260796,"tư_vấn nhiệt_tình , sản_phẩm tốt",0,1,0,0,0,0,0,0,0
97,r-52205820,"sản_phẩm tốt , uy_tín , chất_lượng",0,1,0,0,0,0,0,0,0
98,r-51928742,nhân_viên phục_vụ tốt . sản_phẩm chất_lượng .,0,1,0,0,0,0,0,0,0
99,r-52996317,hàng chính hãng tốt nhân_viên nhiệt_tình,0,1,0,0,1,0,0,0,0
100,r-54899092,màn_hình nét . âm_thanh nghe ấm hay . sạc tương_đối nhanh . giá đỡ tiện_lợi đặt cố_định .,0,0,0,0,0,2,0,0,0
101,r-53976598,"mình cài_đặt phần_mềm lỗi 1 lần , đến thế_giới di_động hổ_trợ cài_đặt . hi_vọng lỗi",0,0,0,0,0,0,0,1,0
102,r-53703730,hơi chậm_chạp . tốc_độ xử_lý hình_ảnh kém . mặc_dù cài con game nào . giá xấp_xỉ 10 triệu mua con ổn .,0,0,0,0,0,2,0,0,0
103,r-53329754,"pin trâu , loa to . chân_đế chỉnh_góc nhìn ưng nhất .",0,0,0,0,0,1,0,0,0
104,r-53736312,sản_phẩm tốt . mấy a tư_vấn nhiệt_tình vui_vẻ,0,1,0,0,0,0,0,0,0
105,r-53395380,cảm_ơn tgdd . sản_phẩm tốt đáp_ứng mong_đợi . hy_vọng cơ_hội mua sản_phẩm tốt chất_lượng thế_này trong tương_lai . bạn nhân_viên tư_vấn phục_vụ tốt .,0,1,0,0,0,0,0,0,0
106,r-53317654,"mua về cập_nhật phiên_bản mới , xài mượt_mà . , nói_chung tốt .",0,0,0,1,0,0,0,0,0
107,r-52707606,pin khá bền_máy dùng mượt không nóng . hàng khá tốt trong tầm giá,0,0,0,1,0,1,0,0,0
108,r-52260576,phục_vụ tốt . máy xài khá ổn trong tầm giá,0,1,0,0,0,0,0,0,0
109,r-52167605,"máy ổn_áp , dùng đáp_ứng nhu_cầu giải_trí tốt . nhân_viên hỗ_trợ nhiệt_tình .",0,1,0,0,0,0,0,0,0
110,r-52137038,bảo_hành 2 năm . tặng thêm 1 năm bảo_hành_chính hãng còn năm đầu_tiên bào hành_chính hãng . mua mới hớ . nhà ở quê muốn bảo_hành sài_gòn .,0,0,0,0,1,0,0,0,0
111,r-54541842,"máy mua xài ngon , ổn_định . âm_thang toa nghe hay , bé nhà thích . nhân_viên tgdđ_tác_phong chuyên_nghiệp , vui_vẻ , nhiệt_tình , tiếp_tục ủng_hộ tgdđ",0,1,0,0,0,0,0,0,0
112,r-53090353,"may_thiết kể đẹp , nhẹ cầm lâu moi tay , màn_hình sáng nét , cam_ứng tốt , ứng_dụng hoạt_đông tuong đổi mượt , pin khỏe_sax nhanh , nói chúng_ổn trong tầm giá .",0,0,0,1,0,1,0,0,1
113,r-52947168,"đáp_ứng tốt nhu_cầu cơ_bản về văn_phòng , giải_trí . pin dùng quá thoải_mái . màn_hình hiển_thị đẹp .",0,0,0,0,0,1,0,0,0
114,r-52754719,"hàng đẹp , loa lớn , máy mỏng nhẹ tốt",0,0,0,0,0,1,0,0,1
115,r-52684241,nhân_viên nhiệt_tình hời_hợt trong chăm_sóc khách_hàng,0,1,0,0,0,0,0,0,0
116,r-52516645,"mới sắm 1 em . máy chạy mượt lắm . màn_hình nét , màu_sắc_đẹp , ám_vàng . nhân_viên tư_vấn dễ_thương . lần đầu mua hàng thấy thích . xe nhân_viên tiễn mình .",0,1,0,1,0,1,0,0,0
117,r-52411154,"nhẹ_nhàng , sử_dụng tốt , hình_dáng đẹp_mắt .",0,1,0,0,0,0,0,0,1
118,r-54618956,sản_phẩm tốt xài tốt màu màn_hình đẹp,0,0,0,0,0,0,0,1,0
119,r-53426405,sản_phẩm tốt trong tầm_giá cảm_ứng_mượt nói_chung tốt,0,0,0,1,0,0,0,1,0
120,r-53063928,redmi pad sử_dụng tốt nhân_viên chăm_sóc khách_hàng nhiệt_tình tốt xuất_sắc,0,1,0,0,0,0,0,0,0
121,r-54877134,máy sài xuống pin nhanhnóng sắp nổ máysạc siêu_lâu 24h mới đầy pin .,0,0,0,0,0,2,0,0,0
122,r-54850462,sản_phẩm trải_nghiệm biết như_thế_nào 5 sao bạn nhân_viên quá nhiệt_tình .,0,1,0,0,0,0,0,0,0
123,r-54849197,máy giống mô_tả nhìn đẹp chạy mượt . sạc hơi lâu . chả biết sao3 tiếng đồng_hồ mới 9 29,0,0,0,1,0,1,0,0,1
124,r-54768651,mẫu_mã đẹp máy pin trâu xem phim tẹt ga chơi game lq hay pupg khá tốt nói_chung máy phục_vụ khá tốt,0,1,0,0,0,1,0,0,1
125,r-54252409,"mua hàng cũ , giá tốt , cũ xước 1 vết nhẹ còn mới . phụ kiện sạc nhanh dùng tốt . tablet sử_dụng giải_trí coi phim , nghe nhạc ổn",1,0,0,1,0,1,0,0,2
126,r-53754938,"giao hàng nhanh , nhân_viên giao hàng thân_thiện , nhiệt_tình . hàng hóa đảm_bảo chất_lượng .",0,1,1,0,0,0,0,0,0
127,r-53742159,"sản phẩm dùng tốt , hợp giá tiền , loa to",0,0,0,0,0,1,0,0,0
128,r-53728142,nhân_viên nhiệt_tình chu_đáo sản_phẩm máy đẹp . lâu hết pin . màng hình to . hình_ảnh sắc nét .,0,1,0,0,0,1,0,0,1
129,r-53718972,"máy tốt , nhanh , đáp_ứng tốt yêu_cầu",0,0,0,0,0,0,0,0,1
130,r-53670411,"máy đẹp , dùng bé học_tập hài_lòng .",0,0,0,0,0,0,0,0,1
131,r-53538103,đội_ngũ nhân_viên bán hàng thân_thiện nhiệt_tình khách_hàng dễ_dàng tiếp_cận sản_phẩm lựa_chọn mua mình mặt_hàng vừa_ý . cảm_ơn bạn,0,1,1,0,0,0,0,0,0
132,r-54566132,máy dùng tốt . nhân_viên tư_vấn nhiệt_tìn,0,1,0,0,0,0,0,0,0
133,r-52336668,"sản_phẩm tốt nhân_viên dán màn_hình nó dư ở mép một chút thằng nhóc ở nhà nó chơi game nó vuốt trúng chỗ dư nó dở miếng dán , mình cố_gắng dán bọt",0,0,0,0,0,2,0,1,0
134,r-52206771,"máy chạy mượt . màn đẹp , ăn_đứt samsung",0,0,0,1,0,1,0,0,0
135,r-54105611,cấu_hình đẹp máy dễ dùng thuận_lợi trẻ học,0,0,0,0,0,1,0,0,1
136,r-53305660,"máy pin hơi kém , dùng mau hết pin , không sạc nhanh",0,0,0,0,0,2,0,0,0
137,r-54636607,máy chạy chậm sử_dụng còn đứng máy,0,0,0,2,0,0,0,0,0
138,r-53628808,"tốc_độ xử_lý máy chậm , máy thường_xuyên đứng",0,0,0,2,0,0,0,0,0
139,r-52020154,"giá_thành rẻ , cấu_hình giải_trí tốt , khá ổn thương_hiệu lenovo , tôi tiếp_tục ủng_hộ lenovo điện_máy canh",1,0,0,0,0,1,0,0,0
140,r-50035142,"máy cảm_ứng mượt , ứng_dụng đơ out ngoài , bắt sóng_wifi yếu thiết_bị khác trong phòng . mua con học online học out liên_tục .",0,0,0,1,0,2,0,0,0
141,r-54537233,"camera mờ , không rõ nét , hay đơ máy",0,0,0,0,0,2,0,0,0
142,r-52984281,"sản_phẩm tốt , nhân_viên phục_vụ nhiệt_tình chu_đaó cảm_ơn bạn",0,1,0,0,0,0,0,0,0
143,r-49701544,"call video 1 thời_gian mất micro , mọi trải_nghiệm khác điều_ổn , giá_cả hợp_lý .",1,0,0,0,0,0,0,0,0
144,r-49451820,"máy sài tốt , mượt , hình_ảnh sắc_nét , dùng ổn trong tầm_gí đáng tin_cậy , ủng_hộ tgdd .",0,0,0,1,0,1,0,0,0
145,r-46813403,máy xài mượt_loa toa pin trâu . giá như_vậy mình thấy hợp_lý màn_hình sắc nét lcd tưởng amoled . phù_hợp trẻ nhỏ nhất tốt nhất bảo_vệ mắt . tuyệt_vời 5 sao,1,0,0,0,0,1,0,0,0
146,r-48768289,"máy mua về phát_hiện chân_sạc vấn_đề . chập_chờn điện , . hỗ_trợ đổi_mới hay bảo_hành",0,0,0,0,0,2,0,0,0
147,r-48742850,"máy đẹp , ưng_ý , nhân_viên nhiệt_tình mua ở cửa_hàng 46 thành_vị , sơn_tây .",0,1,0,0,0,0,0,0,1
148,r-54379501,"giao hàng nhanh , sản_phẩm chất_lượng .",0,0,1,0,0,0,0,0,0
149,r-54334183,"ổn tầm_giá , camera hơi mờ",0,0,0,0,0,2,0,0,0
150,r-53619899,"đẹp , xài củng_tốt , độ sáng_màng hình_hơi tối .",0,0,0,0,0,2,0,0,1
151,r-53602881,"sản_phẩm tốt , tư_vấn chu_đáo",0,1,0,0,0,0,0,0,0
152,r-53318123,mới mua đánh_giá hết chất_lượng . xin cảm_ơn dịch_vụ nhanh_chóng,0,1,0,0,0,0,0,0,0
153,r-53064883,"máy sạc chậm tầm 3 tiếng chừng khoảng 23 , còn youtube the gioi di_dong giới_thiệu khoảng 4 tiếng 45 phút đầy pin .",0,0,0,2,0,2,0,0,0
154,r-52974536,"máy trải_nghiệm cơ_bản tốt , nhân_viên phục_vụ tốt .",0,1,0,0,0,0,0,0,0
155,r-52743674,máy xài tốt nhân_viên giao chăm_sóc nhiệt_tình,0,1,1,0,0,0,0,0,0
156,r-52707210,máy mờ . mau hết pin . sạc lâu,0,0,0,0,0,2,0,0,0
157,r-52446037,hài_lòng máy chạy tốt giá hợp túi_tiền nhân_viên nhiệt_tình mua con chơi game bé thích,1,1,0,1,0,0,0,0,0
158,r-51151481,"nói ai biết về con máy màn_hình xấu , pin mình sạt 9 h tối dến 6 h đâỳ . quá lâu . ai mua suy_nghĩ_lại .",0,0,0,0,0,2,0,0,0
159,r-50735048,máy sài khá tốt . loa to . màn_hình . ban_đầu sài_pin khá trâu khá mượt trong phân_khúc giá rẻ .,0,0,0,0,0,1,0,0,0
160,r-54388927,"máy phản_hồi tac vụ nhanh , hài_lòng nhân_viên , tu_vấn nhiệt_tình",0,1,0,0,0,0,0,0,0
161,r-54123018,một sản_phẩm đắt tốt đáp_ứng nhu_cầu bản_thân . đặc_biệt tình_thần phục_vụ bạn tốt . xin cảm_ơn .,0,1,0,0,0,0,0,0,0
162,r-53490354,"máy cấu_hình_yếu , chậm màn hình_độ phân_giải thấp",0,0,0,0,0,2,0,0,0
163,r-52586788,"máy dùng giải_trí , game nhẹ_tốt , màn_hình to_máy dùng mau nóng pin_tuột nhanh , trung_bình khoảng 34 p 1 pin , xuống 50 tốc_độ tuột nhanh hơn",0,0,0,2,0,2,0,0,0
164,r-52517030,"nhân_viên tư_vấn nhiệt_tình , sản_phẩm dùng tốt , ủng_hộ shop hơn",0,1,0,0,0,0,0,0,0
165,r-52432074,"máy dùng mau nóng_lưng , bù nhân_viên hướng_dẫn tận_tình . 5 sao",0,1,0,2,0,0,0,0,0
166,r-52105665,mua về con học app tiếng anh online youtube kid ổn . dùng hơn ứng_dụng biết . tầm giá tiền chất_lượng nói_chung tốt,0,0,0,0,0,0,0,1,0
167,r-50401715,"chạy chậm . không đòi_hỏi tiền nào , bé học tiếng anh tạm ổn",0,0,0,2,0,0,0,0,0
168,r-50126958,"máy dùng tốt , nhân_viên bán hàng tư_vấn nhiệt_tình , máy màn_hình lớn dùng học online tốt , cam hơi tối không biết chỉnh nó rõ không ,",0,1,0,0,0,2,0,0,0
169,r-49833814,"sài thử cảm_thấy khá mượt , phù_hợp học onl . pin sài_nguyên ngày tác_vụ lướt_web chơi game nhẹ tốtie lắm . có điều miếng dán màn_hình hơi xấu , cà vết xước .",0,0,0,1,0,2,0,0,1
170,r-54528239,"điện_thoại chạy nuột_nà , chạy nhanh , tính_năng vượt_trội cảm_giác ấn_toàn mạnh_mẽ",0,0,0,1,0,0,0,0,0
171,r-53895628,"những_ai dùng đọc sách_báo , coi phim nhẹ_nhàng dùng nghe gọi mọi tốt , thấy tốt . nói_chung phù_hợp số tiền bỏ .",0,0,0,0,0,0,0,1,0
172,r-53820604,"màn_hình 8 inch thiết_kế nhỏ gọn , đem đi nghe nhạc mọi mọi . mình thích máy , kết_nối loa nghe nhạc , xem phim hay",0,0,0,0,0,1,0,0,1
173,r-53758208,nhân_viên nhiệt_tình . giao hàng nhanh_chóng . lịch_sự ưng máy đẹp .,0,1,1,0,0,0,0,0,1
174,r-53644840,máy hơi chậm . có lẽ phù_hợp giá tiền,0,0,0,2,0,0,0,0,0
175,r-54626393,"pin xài lâu , màn_hình sắc_nét , chụp ảnh đẹp tôi 5 sao",0,0,0,0,0,1,0,0,0
176,r-54368949,"dùng lag , trang ứng_dụng xem hình_ảnh hao_pin",0,0,0,2,0,2,0,0,0
177,r-54359407,"ưng , cầm chắc tay , mua trong tg khuyến_mãi nên giá rẻ khác",1,0,0,0,0,0,0,0,0
178,r-54242046,"máy đẹp mượt_mà , ram4 sài khá ngon , màn sáng chụp ảnh khá đẹp sáng giá 4 tr vầy quá tuyệt , chơi liên_quân mướt lắm",0,0,0,1,0,1,0,0,1
179,r-54225627,"nhân_viên tư_vấn nhiệt_tình , máy pin trâu , sạc pin 20 100 tầm 3 tiếng , vân tay nhạy , mình xài bản ram 4 g chủ_yếu xem tikttốt lướt_wed , k chơi game thấy mượt .",0,1,0,1,0,1,0,0,0
