,item_id,cmt_id,username,rating,comment
226,251704,r-54548298,Chú Tráng,5,"myb samsung tab a8 mẫu_mã đẹp cấu_hình mạnh dùng trong công_việc , học_tập_tra cứu tốt"
228,251704,r-54419468,Anh Quốc,2,"mình mùa màu , hỏi nhân_viên màu nhân_viên bảo màu đen , giờ mới biết màu xám , thất_vọng thật"
230,251704,r-54358301,Mã Thanh An,5,bé nhân_viên cửa_hàng cmt8 tp . bà rịa tư_vấn tuyệt_vời . sản_phẩm ok .
236,251704,r-54176909,Nam,5,"dùng thấy lỗi ,"
238,251704,r-54139370,Điệp,3,"sạc pin lâu , 78 giờ mới đâỳ , hình_ảnh màu_sắc ko đẹp"
239,251704,r-54081205,Nghĩa ,5,máy tốt mượt . tuy_nhiên sạc_pin lâu quá lâu . máy còn 50 cắm sạc 7 h30 đến 11 h đầy 97
242,251704,r-54000878,Vân Anh,4,"sao mình thấy ghi sạc 15 w , cục sạc kèm máy 7.8_w ."
250,251704,r-53724327,Thắng,4,màn_hình hơi hột_nhòe xấu tạm . ngoài mới xài 1 tháng thấy tốt .
251,251704,r-53722353,Trịnh Phan,4,sản_phẩm khá ổn dù giá hơi cao
253,251704,r-53686831,Hồng Anh,4,"máy đẹp , nhân_viên giao hàng nhiệt_tình"
255,251704,r-53666460,Thông,4,ngoài bắt wifi_yếu mọi còn tốt
259,251704,r-53367324,NGA,5,nhân_viên phục_vụ khách_hàng nhiệt_tình
265,251704,r-53232607,LUÂN,5,"sản_phẩm dùng tốt , bao da tặng đẹp , dòng chụp hình_như mờ dùng mượt"
267,251704,r-53158064,Khách lẻ,4,"sử_dụng tác_vụ tốt . bắt wifi hơi yếu . samsung note viết độ nhạy khá trễ . loa khủng , nghe ."
273,251704,r-52912514,Khánh Dương,4,"máy cầm khá nặng_tay , tác_vụ cơ_bản mượt . pin dùng 1 ngày tạm đủ sạc khá lâu"
276,251704,r-52802953,HÀO,5,sản_phẩm ưng_ý
277,251704,r-52767174,Phạm Thị Thuý Hạnh,1,mình mua hôm_qua về máy đơ giật màn_hình . hình_ảnh mờ màu hoài . giờ đi đổi mất 20 giá tiền . đành chịu xài tạm biết làm_sao giờ . huhu
281,251704,r-52488590,Băng,5,"mua đợt khuyến_mãi giá ok lắm , hết bao da khuyến_mãi tầm 6 tr7 thôi . tác_vụ cơ_bản ok , loa khủng"
282,251704,r-52446304,NHI,5,"máy tốt , phù_hợp giá tiền"
285,251704,r-52350605,THỦY,3,"mình mới xaì , xài một thời_gian mới biết"
287,251704,r-52320263,Hiếu,5,"phù_hợp nhu_cầu xem video loa to , màn đẹp . tốt"
288,251704,r-52298701,Hồ Minh Thành,5,tốt xử_dụng ý
297,251704,r-52054246,THÀNH,5,"sản_phẩm dùng ok . nghe gọi rõ_ràng , lướt_web nhanh_nhạy . nói_chung sản_phẩm galaxy tab a8 mới dùng thấy tốt về biết ."
299,251704,r-52017253,Cường,1,"máy sụt nguồn bật , giảm pin nhanh"
303,251704,r-51843027,QUỐC,4,sản_phẩm hiện_tại tốt . phục_vụ nhiệt_tình
305,251704,r-51675629,QUY%CAN,5,sp sử_dụng tốt máy êm
307,251704,r-51275770,Trần tuấn Du,4,"giao hàng nhanh , nhân_viên giao hàng nhiệt_tình , bước_đầu máy_ổn , nhân_viên giao hàng nói còn nợ bao da , hẹn 710 ngày"
310,251704,r-50962838,Bảo,3,"máy mình đêm đến sáng hôm tự_động báo lỗi_wifi , ngắt wifi kết_nối mới tiếp_tục truy_cập mạng ."
312,251704,r-50848512,Trần thanh phong,5,máy_tính bảng sài ok . 3 lan đầu mình sạc pin 9 tieng đến 10 tiếng . đến lần thứ 4 sạc pin 3 tieng 45 phut . máy sài lâu hết pin.neu_sài bình_thường gần 1 tuan mới hết . còn sài 2 ngày mới hết
315,251704,r-50730500,Nguyễn Văn Đức,4,"sạc pin chậm , thay sạc khác ok"
316,251704,r-50694093,Nguyễn Trường Giang,5,máy đẹp . bin sử_dụng ổn 1 ngày . tội sạc bin hơi lâu . nói_chung khá ổn trong tầm giá .
354,248096,r-54417365,Em Linh,4,"nói_chung xài ok , pin_ổn , sáng sạc đầy xài tới tối"
357,248096,r-54205922,Phạm Minh Thiện,5,"mỏng nhẹ . chip m1 siêu_mượt . nhu_cầu làm_việc , chơi game mình sử_dụng tốt trong 5 năm tới . tội đến giờ ông apple bộ_nhớ 64 gb , hơi hẹo"
358,248096,r-54204110,Nguyễn Trung Hậu,5,dùng khá ok mua củ con mới 100
361,248096,r-54150390,Nguyễn Hà Đăng Huy,4,tôi trải_nghiệm thêm đánh_giá chính_xác nhất
363,248096,r-54113543,Hoàng,5,"tốt , nhân_viên giao hàng nhiệt_tình"
365,248096,r-54089370,CHỊ LAN,2,"chơi game facebook chậm cảm_thấy mượt , tư_vấn gấp"
367,248096,r-53396193,Nhân,5,"okla . có_điều giờ apple còn làm bản 64 gb , đúng ông hoàng_hút máu"
380,247513,r-54324753,Minh,4,su_dung rat tot . dang tien mua .
381,247513,r-54164846,Long,5,"sản_phẩm tốt , bạn nv nhiệt_tình"
382,247513,r-53896569,Nguyễn Thiên Thông,4,"thế_giới di_động huyện phú_lâm , tỉnh đồng_nai hỗ_trợ về sản_phẩm nhiệt_tình ."
385,247513,r-52389710,352125580471463,4,hài_lòng về sp hk hài_lòng về phụ_kiện bảo_vệ máy miếng dán bảo_vệ màn_hình
389,247513,r-51853597,ADMAX,1,máy dùng hay đơ lắm
397,294103,r-54729089,Yến,4,"cảm ứng_nhaỵ , màn_hình lướt nói_chung dùng khá ok"
398,294103,r-54676734,CÔNG TY TNHH APPLE VIỆT NAM,5,tôi tên phương anh đâu tên nam
400,294103,r-54625922,Phượng,4,"xài ổn , đẹp . có_điều màn_hình rõ 120 hz"
409,294103,r-54316809,Truc Ly,5,"cảm_ứng máy_nhaỵ , pin ổn . 5 sao chất_lượng máy . 1 phục_vụ nhân_viên hời hợt , mua hàng ko tư_vấn rõ_ràng chính_sách bảo_hành , ko tư_vấn cách sử_dụng máy ."
422,294103,r-53913440,Chị Tú,4,"trải_nghiệm hết tất_cả chức_năng , hiện_tại hài_lòng sản_phẩm"
424,294103,r-53873468,Hoàng Kim Anh Phụng,5,"tốt mượt , máy sự_dụng chuyên ghi_chép . ko đanha_giá cụ_thể hơn"
427,294103,r-53757830,Nguyễn Thị Hương,5,bạn nhân_viên phục_vụ tốt nhiệt_tình mình thích
428,294103,r-53733286,Phạm Trần Quốc Vương,4,định mua màu vàng ko
429,294103,r-53726014,BÙI THANH TRƯỜNG,5,sản_phẩm tốt nhân_viên tư_vấn tuyệt_vời
431,294103,r-53606756,Tô Kiều Thụy Phương Thảo,5,nv nhiệt_tình vui_vẻ may_xài oke
432,294103,r-53545026,CÔNG TY TNHH VIETNAM WATCHSHOP,4,"tốt , hàng dùng thấy ổn_định"
433,294103,r-53466186,Anh Mạnh,2,"một_số ứng_dụng máy đơ , màn_hình xanh"
435,294103,r-53272305,SEN,3,"mình trải_nghiệm , máy dấu_hiệu đơ khiến con mình thi_dở ảnh_hưởng , mình theo_dõi lỗi_mạng internet hay lỗi phần_mềm ."
452,237325,r-54583483,Nguyen T Thu Trang,5,sản_phẩm tốt . giá tốt
453,237325,r-54518715,Vũ Quốc Khánh,4,"dùng ổn_định , máy khá đẹp"
454,237325,r-54492232,Nguyễn Thị Phụ,5,xài ok máy chạy êm
459,237325,r-54316574,Ngô Ngọc Huỳnh,5,sản_phẩm xài ok . nhân_viên tư_vấn tất tốt nhiệt_tình
469,237325,r-54114878,Đặng Trung Hiếu,4,đủ xài bé_nhỏ 5 t
471,237325,r-54045381,DÃI,2,chạy chậm nhanh hết pin
472,237325,r-54044617,Trịnh Trần Nguyễn,5,giá tốt hơn giao hàng nhà . good
477,237325,r-53927986,Vi,4,cấu_hình mạnh sài tốt đối_với bé
479,237325,r-53881721,Trương Thảo,3,"máy nhanh hết pin , hay đơ , dùng học_tập coi_video , chơi game"
488,237325,r-53695346,Anh Quyết,5,tốt . nhân_viên nhiệt_tình chu_đáo
492,237325,r-53599481,Nguyễn thanh bình,3,máy nóng_mau hết pin . mã bên ngoài . đổi mất 20 giá .
496,237325,r-53486835,PHỤC,5,bạn phục_vụ tốt
501,237325,r-53327766,HO%C0NG,4,sản_phẩm khá ổn trong tầm_giá giá hơi cao mặt_bằng chung
503,237325,r-53286023,VÂN,5,máy_tính bảng_xài mượt .
505,237325,r-53224256,PHÁT,5,"sản_phẩm tốt , nhân_viên nhiệt_tình"
509,237325,r-53002088,Nguyễn Thanh Việt,4,thiết_kế đẹp . túi_tiền
510,237325,r-52992286,HÀ,5,dùng tốt công_ty làm_ăn chuẩn
511,237325,r-52957867,ĐỖ TRẦN MỸ HUYỀN,5,tốt trong tầm_giá . mua bé chơi
512,237325,r-52892855,DUY,5,"máy tốt , nhân_viên nhiệt_tình ."
513,237325,r-52873817,Ngô Nguyên Nhật,5,"hàng tốt , giống giới_thiệu , phục_vụ tốt , nhan"
514,237325,r-52763408,TÙNG,3,bán điện_thoại phụ kiện
515,237325,r-52729310,SƠN,5,"nhân_viên nhiệt_tình , tôi hài_lòng cách phục_vụ"
517,237325,r-52712892,TH O,5,mình dùng sản_phẩm thấy ổn . máy chạy mượt_mà . cảm_ứng nhaỵ . chơi game online ok
521,237325,r-52616494,L U,4,xài tạm ổn mức giá hợp_lý .
522,237325,r-52552129,Nguyễn Hoàng Việt ,1,tất_cả dòng game my talking tom ko đúng chán
526,237325,r-52484795,THƠ,4,"ok trong tầm_giá , tác_vụ cơ_bản ok , pin khá bền"
535,237325,r-52278912,VŨ,5,máy sài_tác vụ thông_thường tốt
536,237325,r-52267167,LINH,3,hàng dùng oke tội màn_hình hơi mờ . nhân_viên tư_vấn nhiệt_tình niềm_nở
537,237325,r-52211452,Kim Hanh,5,mua hoc ổn . va tiên_lợi hơn may tinh_sac tay
543,237325,r-51885288,KIỆT,1,máy mới mua xài 1 tuần làm rớt va_chạm cong viền đem bảo_hành kêu nằm trong danh_mục bảo_hành . giá thay linh_kiện bằng 14 giá_trị máy
544,237325,r-51853303,ĐẠT,4,"mượt , hình_ảnh rõ , wifi ổn"
546,237325,r-51700084,BỀN,5,nhìn_chung cách phục_vụ khách_hàng điện_máy xanh nhiệt_tình chu_đao
547,237325,r-51676073,LIÊN,5,sản_phẩm đáng mua học online
548,237325,r-51498471,Bùi Thị Thảo Mi,2,sạc mau_hư . gửi bảo_hành bắt gửi máy . thời_gian lâu . ko thích cách bảo_hành bên hãng chút nào .
550,237325,r-51324441,V. Dũng,5,"nhân_viên tư_vấn nhiệt_tình , thân_thiện , thật_thà . máy ok trong tầm giá"
553,237325,r-51038773,Ngọc,5,"máy trải_nghiệm tốt , hợp giá_thành"
554,237325,r-51035967,Phuong Nam,3,"cục sạc chậm quá , thay_thế loại nào tốt shop"
555,237325,r-50969107,Nguyễn Thị Tham,5,"nhận_viên nhiệt_tình , vui_vẻ"
559,237325,r-50835038,Hà văn đạo,4,trong giới_thiệu về khuyến_mãi máy khuyến_mại bao_da máy tại_sao mình mua nhân_viên nói bao da sao ad tgdđ sơn_dương tỉnh tuyên_quang
560,237325,r-50821119,Mr Lâm,5,sản_phẩm phù_hợp voi giá
561,237325,r-50733138,Anh Hiền,5,tôi an_tâm lựa_chọn sản_phẩm .
563,237325,r-50498360,Trần Phượng,5,"nhân_viên nhiệt_tình , máy tốt"
564,237325,r-50398618,Hòa,4,"loà ngoài dù mở nhỏ hơi_rè , biết khắc_phục ."
565,237325,r-50393293,Đỗ Quốc Thái,1,hài_lòng về chât lương dịch_vụ . ko hài_lòng về khuyên maỉ . ko giới_thiệu bạn_bè
570,237325,r-49993912,Viet,4,mình mới lấy tab a7 lite giờ thấy cấu_hình thấp quá ko_ưng muốn đổi máy khác ko
572,237325,r-49744747,Minh,5,"sản_phẩm đẹp hơn xem online . bao da chính hãng tặng kèm đẹp . cấu_hình tốc_độ tầm_giá quá chuẩn sam_sung . nhân_viên nhiệt_tình , vui_vẻ , thân_thiện ."
574,237325,r-49378970,anh Hậu,3,chính_sách giao hàng khách_hàng thuận_tiện hơn . tôi chạy hơn 100 km biên_hòa đến đình_quán lấy sản_phẩm
575,237325,r-48513663,Nguyễn Thanh Hoa,5,"thực_sự ưng . giá tiền mua giảm_giá 3 tr9 . chủ_yếu zai học ol giải_trí khuya khủa_tí thấy okela . đơ , giật ."
583,237325,r-47618720,Ngô Thị Nhàn ,5,"dùng ok , phù_hợp con mình học online , mình dùng , tiện_lợi ."
585,237325,r-47268314,Nguyễn Thị Như Điểm,5,"mua máy con chơi mùa dịch , cảm_ơn tgdd , đặc_biệt cảm_ơn anh shipper nhiệt_tình"
588,237325,r-46918188,Thái Thị Trang,1,mình mua gần 1 tháng máy hở viền chỗ tăng giảm âm . đưa đi thẩm_định bảo ngoại_lực tác_động bảo báo_giá thay mới . trong máy mình ko hề méo_móp . thất_vọng
589,237325,r-46865840,Hà Nguyễn Huyền Trân,5,"mua 1 tháng dịp giảm_giá trả_góp tiện . máy dùng ghi_chép vẽ_vời ổn . loa to rõ , thêm màn_hình coi phim tuyệt_vời . pin trâu"
591,237325,r-46701524,Trà Duy Tân,5,"test máy máy_mượt , màn_hình tầm_trung xem youtube đẹp , chơi game nhẹ , sử_dụng mạng xã_hội tốt , fb , mes , zalo . máy thiết_kế đẹp , mỏng , nhẹ bắt_mắt , vỏ kim_loại nhìn sang_trọng pin trâu kèm_sạc nhanh , nói_chung thích dòng máy mới ."
596,237325,r-46406610,Nguyễn minh nhiều,5,máy ok . nhân_viên phục_vụ khách_hàng ok . ok
597,237325,r-46381451,Duy,1,máy mua chủ_yếu chụp văn_bản camera chụp văn_bản thấy chữ đọc . máy mới chụp hình thua máy cũ
608,237325,r-53652854,Hồ Đắc Duy,5,tốt tầm giá .
631,237325,r-50896537,Liên Bảo Ngọc,5,máy chạy êm mượt
643,238649,r-52342519,LÝ,1,"pin thua iphone , dùng ngày nào sạc"
649,238649,r-50729670,Khánh Đăng,5,sản_phẩm ok . mình nam nữ shop lưu_ý dùm . toàn gọi mình chị
652,306923,r-54978179,PHAN THANH CHÂU,4,xử_dụng vài ngày thấy tốt .
653,306923,r-54765718,Nguyen Van Nghia,5,sản_phẩm tốt phục_vụ tận_tình
663,240254,r-54754682,VÕ THỊ KIM NGÂN,5,máy đẹp . chạy ổn . ưng_ý mua đúng giảm_giá . bao đẹp
664,240254,r-54730694,Lê Thị Phương Thảo,5,nhân tư_vấn nhiệt_tình đúng tiêu_chí về sp 5 sao bạn nhân_viên
665,240254,r-54625540,Nguyễn Thị Tình,3,mình cảm_thấy hài_lòng về độ cảm_ứng màn_hình .
667,240254,r-54547680,Huynh Ngoc Y,2,sài bao_lâu cong màn_hình hư_ben
668,240254,r-54525403,Thanh Hoa,5,hai lòng voi san_phẩm
671,240254,r-54406829,Anh Quý,4,"nhan_vien giao hang tan_tinh , minh da_su dung_thu thay may ok"
672,240254,r-54406032,Hợp Tác Xã Nông Nghiệp Suối Hiệp 1,4,máy mượt . phù_hợp nhu_cầu . một_số chức_năng trải_nghiệm 4
675,240254,r-54109700,Quân,5,em hỏi em dùng 2 bên thân máy chỗ gần màn_hình hơi mòn ảnh_hưởng đến máy
677,240254,r-54054540,Nguyễn Ngọc Bùi,1,rõ báo hàng mới nhận máy ko còn nguyên seal
680,240254,r-53974448,Nguyễn A Dũng ,5,mình hỏi tab s7 fe 4 g hỗ_trợ mở_rộng thẻ nhớ tối_đa bao_nhiêu gb shop ơi
682,240254,r-53872474,Nguyễn Trọng Khoa,5,dùng tốt nhân_viên nhiệt_tình
684,240254,r-53775347,Trần Văn Lê,5,"sài ổn_định , sử_dụng 1 thời_gian đánh_giá tiếp"
691,240254,r-53115577,SÂM,5,"màn_hình to , hình_ảnh sắc_nét , thích_hợp người lớn_tuổi sử_dụng"
692,240254,r-53089071,PHUƠNG,5,tốt làm_ăn quy_tình ok bảo . hanh dũng_cảm . ket tôi ungg hô
696,240254,r-52937843,CHÍNH,3,"máy to quá , bảo_mật nhận_diện khuôn_mặt châm , nhạy"
698,240254,r-52881597,HIEN,5,"sp tốt , nv phục_vụ nhiệt_tình , mua"
700,240254,r-52721543,HÙNG,3,lau lau nó dăn mạng
706,240254,r-52482990,thao chi,5,"mới mua sáng nay , nhân_viên nhiệt_tình , xài mượt . thank bạn tgdđ gần chợ củ_chi ."
707,240254,r-52446823,SƠN,5,"máy hơi nặng , dùng thích ."
708,240254,r-52300077,Trần Đinh Tuấn,4,"pin trâu , loa hay , thiết_kế cứng_căp , phù_hợp giải_trí , công_việc nhẹ"
714,240254,r-52037623,TRI,5,"máy_tính tính bảng sử_dụng tốt , hài_lòng"
716,240254,r-51932869,Ý,5,phù_hợp túi_tiền
718,240254,r-51886265,TRANG,5,"máy chạy mượt , thích"
719,240254,r-51843038,KHIÊM,1,mua về sạc lần đầu ko . đi bảo_hành trung_tâm samsung . bảo_hành chậm trể . sạc ko báo lỗi hư màng_hình . thua
720,240254,r-51526895,Nguyên Luan,5,"sử_dụng 8 tháng máy sử_dụng vấn_đề , cám_ơn nhà_sản_xuất tôi hài_lòng"
721,240254,r-50877857,Hằng Lê,4,"ngoài màn_hình lớn , mọi thứ bình_thường . bắt sóng hơi kém , gọi zalo nói_chuyện khó nghe . ngoại_hình nhìn đẹp ."
722,240254,r-50808672,Tô Anh Thơ,5,1 thời_gian sử_dụng máy tốt . có_điều kn wifi hơi kém .
723,240254,r-50647270,Lê Thành Nguyễn,5,mắt kế_camera bên trái nhỉ biết dán cường_lực sao ko
725,240254,r-50324428,E Loan,5,"nhân_viên nhiệt_tình , thân_thiện . hàng xài ok . chất_lượng ổn ."
726,240254,r-50253791,Nguyen manh Nam,4,mình mua gần 2 tháng muốn bán thiếu mất cục sạc bán đk ko
727,240254,r-50127769,Nguyễn Sơn Giang,5,"sản_phẩm tốt mong_muốn , nhân_viên tư_vấn nhiệt_tình , vui_vẻ . tiếp_tục ủng_hộ tgdđ"
729,240254,r-49448909,Trần Kim Hương,5,"máy tốt , màn_hình to hơn , cảm_ứng nhạy hơn . mới xài biết , sử_dụng lâu_dài ."
730,240254,r-49375645,NGUYỄN ĐÌNH LONG,3,hảng khác bán máy kèm ốp lưng chính hảng samsum ốp lưng kèm máy . còn giá_cả xuống giá quá nhanh dẫn đến mất cân_bằng về giá .
733,240254,r-48839785,Hoàng Vân Anh,4,"máy dùng ok lắm em mua ứng_dụg viết pdf lỗi , xử_lí sao"
736,240254,r-48480062,Võ Trí Nhân,5,"máy xịn , mượt đủ dùng , màn_hình to , bút tiện_dụng , tính_năng hay , màn đẹp , ko_tệ ."
738,240254,r-47954512,Nguyen thị hạnh,4,mới mua về . ko biết công_dụng nút bấm cây_bút tác_dụng . cách tắt nguồn sao
739,240254,r-47856956,Hà,4,"nội_dung ưu_đãi giảm 30 40 mua đồng_hồ thời_trang giải_thích rõ về điều_kiện áp_dụng . tránh hiểu lầm . cảm_giác úp , ưu_đãi"
743,240254,r-47509194,Ngô minh cường ,5,sao mình mua s7_fe hôm_nay ko bao_gia tiền 11.590.000 bạn bạn xem_lại xem nhầm ko
745,240254,r-47363075,Phạm minh vũ,4,hôm_qua mua trừ quà cộng khuyến_mãi còn 9.590.000 nhân_viên giao hàng nhiệt_tình
746,240254,r-47352147,Nguyễn Xuân Sang,5,"màn_hình to , pin_khỏe , đáng_giá , hài_lòng . bút s pen sử_dụng chung máy note 20 , đúng combo"
754,240254,r-54217058,Thiên Lộc,4,tgđ bán hàng tốt . đả mua dăm_ba lần .
761,240254,r-52698182,TRUNG,3,bình_thường giá cao hơn khác
774,259650,r-53646590,NHÂN,5,"mua vợ xài hông_vó biết sao , chắc mắc tốt thôi"
776,259650,r-53093013,Quỳnh Như,4,"thật_ra đặt anh nhân_viên , mình đặt pro m1 12.9_cellular hong , sài tới giờ mới đi kím khe sim mới phát_hiện hong"
777,259650,r-52657977,Đắc Minh Lộc,5,tuyệt_vời màn mini led một sản_phẩm tuyệt_vời mọi người mua
779,259650,r-51085331,Nguyễn Huỳnh Khôi Nguyên,5,hàng tốt ấy
783,295458,r-54577132,Anh Quang,4,"máy tốt , phụ_tùng bao da ko"
787,294104,r-54746005,Nguyễn Hoàng Yến Nhân,4,"tốt , sp gặp trục_trặc . nhân_viên hỗ_trợ tốt , đặt_hàng 3 4 ngày nhận"
792,294104,r-54379558,Hà,5,mọi nhu_cầu đáp_ứng tốt .
798,294104,r-53909555,Em Hiếu,5,sản_phẩm dùng mượt mọi thứ tốt
802,294104,r-53810626,Đặng Minh Hùng,5,"sản_phẩm tốt , sài ok , nhân_viên nhiệt_tình"
805,294104,r-53571464,Nguyễn Thanh Tâm,5,"sản_phẩm tốt , nhân_viên hỗ_trợ nhiệt_tình"
